"AAL" "AAP" "DAL" "GOO" "HPE" "SON" "SUN" "XOM"
"1" TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE
"2" FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
"3" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
"4" TRUE FALSE FALSE FALSE FALSE TRUE FALSE FALSE
"5" TRUE FALSE TRUE TRUE FALSE FALSE TRUE FALSE
"6" TRUE FALSE FALSE TRUE TRUE TRUE TRUE FALSE
"7" TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE
"8" TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
"9" FALSE TRUE FALSE TRUE TRUE TRUE FALSE TRUE
"10" TRUE TRUE TRUE FALSE TRUE FALSE FALSE TRUE
"11" FALSE FALSE TRUE TRUE TRUE FALSE TRUE FALSE
"12" TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE
"13" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
"14" TRUE FALSE FALSE TRUE FALSE TRUE FALSE FALSE
"15" TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE
"16" FALSE TRUE TRUE TRUE TRUE TRUE TRUE FALSE
"17" TRUE FALSE TRUE TRUE TRUE TRUE FALSE TRUE
"18" FALSE TRUE FALSE TRUE FALSE FALSE TRUE FALSE
"19" TRUE TRUE TRUE FALSE TRUE FALSE TRUE FALSE
"20" TRUE TRUE TRUE TRUE FALSE FALSE FALSE TRUE
"21" TRUE TRUE TRUE TRUE TRUE TRUE FALSE FALSE
"22" TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE
"23" FALSE TRUE TRUE TRUE TRUE TRUE FALSE TRUE
"24" FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"25" FALSE TRUE TRUE TRUE FALSE TRUE TRUE TRUE
"26" FALSE TRUE TRUE TRUE FALSE FALSE TRUE FALSE
"27" FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"28" TRUE FALSE FALSE FALSE TRUE FALSE FALSE FALSE
"29" FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE
"30" TRUE TRUE TRUE TRUE TRUE FALSE TRUE FALSE
"31" FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
"32" FALSE TRUE TRUE FALSE TRUE TRUE FALSE TRUE
"33" TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE
"34" TRUE TRUE FALSE TRUE TRUE TRUE FALSE FALSE
"35" FALSE TRUE FALSE TRUE FALSE TRUE FALSE FALSE
"36" TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
"37" FALSE FALSE FALSE TRUE TRUE TRUE TRUE TRUE
"38" TRUE TRUE TRUE FALSE TRUE FALSE FALSE FALSE
"39" FALSE FALSE TRUE TRUE TRUE TRUE TRUE TRUE
"40" FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"41" TRUE TRUE TRUE TRUE TRUE FALSE TRUE FALSE
"42" FALSE TRUE FALSE FALSE TRUE TRUE FALSE FALSE
